ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
20758,HW106184,01/06/2013 11:15:00 AM,048XX W GLADYS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1533,015,24,25,01A,1144400,1897948,2013,03/11/2013 10:33:06 AM,41.87598627701417,-87.74528249688564,"(41.87598627701417, -87.74528249688564)"
20756,HW100786,01/05/2013 08:33:00 PM,087XX S HONORE ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,2221,022,21,71,01A,1165587,1846425,2013,04/01/2013 09:36:35 AM,41.73417648001082,-87.66895353807698,"(41.73417648001082, -87.66895353807698)"
20757,HW106139,01/05/2013 07:26:00 PM,083XX S KINGSTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,0423,004,7,46,01A,1194665,1849947,2013,01/07/2013 06:34:00 AM,41.74317581785222,-87.56231104785873,"(41.74317581785222, -87.56231104785873)"
20755,HW105881,01/05/2013 03:52:00 PM,055XX S LOOMIS BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0713,007,16,67,01A,1167984,1867862,2013,01/08/2013 11:49:15 AM,41.792951321473595,-87.65955686266392,"(41.792951321473595, -87.65955686266392)"
20752,HW101960,01/02/2013 03:15:00 PM,124XX S UNION AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0523,005,34,53,01A,1173863,1822578,2013,04/01/2013 09:37:29 AM,41.66855743523456,-87.63933814868274,"(41.66855743523456, -87.63933814868274)"
20751,HW101015,01/01/2013 04:56:00 PM,058XX S SACRAMENTO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0824,008,14,63,01A,1157417,1865818,2013,01/28/2013 10:34:19 AM,41.7875630286017,-87.69836041812606,"(41.7875630286017, -87.69836041812606)"
20750,HW100867,01/01/2013 02:45:00 PM,045XX S CHAMPLAIN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,CHA PARKING LOT,true,false,0221,002,4,38,01A,1181511,1874910,2013,04/05/2013 08:40:16 AM,41.81198999392976,-87.60973770815353,"(41.81198999392976, -87.60973770815353)"
20749,HW100288,01/01/2013 03:45:00 AM,007XX N 709,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1215,012,27,24,01A,1166969,1904906,2013,01/28/2013 10:29:27 AM,41.894625342020404,-87.6622172954302,"(41.894625342020404, -87.6622172954302)"
20748,HV620483,12/31/2012 04:49:00 PM,042XX W 21ST PL,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1012,010,24,29,01A,1148333,1889376,2012,03/01/2013 08:51:34 AM,41.85238881620196,-87.73106257101348,"(41.85238881620196, -87.73106257101348)"
20747,HV622375,12/31/2012 12:16:00 AM,033XX N KEELER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1731,017,31,16,01A,1147868,1921643,2012,12/31/2012 07:39:57 AM,41.94094184141789,-87.73193912599328,"(41.94094184141789, -87.73193912599328)"
